Subject,Mutant,Failed_TCs,Total_Probes,Basic Tarantula,Basic Ochiai,Basic DStar,MC/DC Tarantula,MC/DC Ochiai,MC/DC DStar
printtokens,v1,2,4,0.6828,0.0323,0.0021,0.711,0.0345,0.0024
printtokens,v2,26,4,0.6885,0.1175,0.364,0.7321,0.1304,0.4501
printtokens,v3,25,4,0.6904,0.1157,0.3395,0.7313,0.1277,0.4145
printtokens,v4,11,4,0.6447,0.0628,0.0436,0.6904,0.0696,0.0535
printtokens,v5,108,4,0.6958,0.2406,6.6348,0.7843,0.2983,10.5461
printtokens,v6,87,4,0.6623,0.1881,3.1876,0.7055,0.2056,3.8344
printtokens,v7,17,4,0.6899,0.0954,0.1563,0.7307,0.1053,0.1906
printtokens2,v1,101,17,0.5844,0.1849,3.5743,0.8886,0.3084,10.6122
printtokens2,v10,125,17,0.585,0.2057,5.5212,0.585,0.2057,5.5212
printtokens2,v2,106,17,0.5846,0.1894,3.9438,0.8872,0.3043,10.0588
printtokens2,v3,5,17,0.5822,0.0411,0.0085,0.714,0.0459,0.0106
printtokens2,v4,215,17,0.5873,0.2697,16.8704,0.7887,0.3424,28.3565
printtokens2,v5,125,17,0.585,0.2057,5.5212,0.585,0.2057,5.5212
printtokens2,v6,235,17,0.5879,0.282,20.3033,0.8757,0.355,30.346
printtokens2,v7,150,17,0.5857,0.2253,8.0214,0.7883,0.3514,21.1268
printtokens2,v8,113,17,0.5847,0.1956,4.493,0.8858,0.3088,11.0092
printtokens2,v9,25,17,0.5826,0.092,0.2133,0.8986,0.1869,0.8975
schedule,v1,4,6,0.5115,0.0398,0.0063,0.4215,0.0235,0.0022
schedule,v2,210,6,0.5125,0.288,19.0004,0.5961,0.3317,25.9574
schedule,v3,159,6,0.5122,0.2506,10.6581,0.6001,0.2957,15.2295
schedule,v4,294,6,0.513,0.3408,38.6392,0.6071,0.402,56.6793
schedule,v5,37,6,0.5117,0.1209,0.5489,0.5945,0.1426,0.7682
schedule,v6,4,6,0.5115,0.0398,0.0063,0.4215,0.0235,0.0022
schedule,v7,27,6,0.5116,0.1033,0.2911,0.5544,0.1052,0.3022
schedule,v8,31,6,0.5116,0.1107,0.3844,0.5943,0.1305,0.5375
schedule2,v1,65,12,0.5041,0.1561,1.6238,0.766,0.1592,1.6893
schedule2,v10,46,12,0.5041,0.1313,0.8073,0.9661,0.4714,12.3205
schedule2,v2,31,12,0.504,0.1078,0.3646,0.5138,0.1099,0.3791
schedule2,v3,34,12,0.504,0.1129,0.439,0.5138,0.1151,0.4566
schedule2,v4,2,12,0.504,0.0274,0.0015,0.5137,0.0279,0.0016
schedule2,v5,32,12,0.504,0.1095,0.3886,0.5138,0.1117,0.4041
schedule2,v6,7,12,0.504,0.0512,0.0184,0.8936,0.078,0.0412
schedule2,v7,31,12,0.504,0.1078,0.3646,0.5138,0.1099,0.3791
schedule2,v8,47,12,0.5041,0.1328,0.8431,0.9659,0.4689,12.3205
tcas,v1,131,6,0.5051,0.2881,11.8597,0.9106,0.6889,118.3517
tcas,v10,14,6,0.5047,0.0942,0.1253,0.9041,0.256,0.9796
tcas,v11,14,6,0.5047,0.0942,0.1253,0.6086,0.1161,0.1912
tcas,v12,70,6,0.5049,0.2106,3.2493,0.8854,0.4354,15.8598
tcas,v13,4,6,0.5047,0.0503,0.0102,0.8924,0.1233,0.0616
tcas,v14,50,6,0.5049,0.178,1.6361,0.5049,0.178,1.6361
tcas,v15,10,6,0.5047,0.0796,0.0638,0.8464,0.1291,0.1667
tcas,v16,70,6,0.5049,0.2106,3.2493,0.9138,0.5706,33.7931
tcas,v17,35,6,0.5048,0.1489,0.7939,0.9109,0.4181,7.4082
tcas,v18,29,6,0.5048,0.1356,0.5429,0.8402,0.2062,1.225
tcas,v19,19,6,0.5048,0.1097,0.2316,0.9121,0.3234,2.2192
tcas,v2,67,6,0.5049,0.2061,2.9709,0.7986,0.275,5.4811
tcas,v20,18,6,0.5048,0.1068,0.2077,0.9164,0.3323,2.2345
tcas,v21,16,6,0.5048,0.1007,0.1639,0.9165,0.3152,1.7655
tcas,v22,11,6,0.5047,0.0835,0.0772,0.646,0.1114,0.1383
tcas,v23,42,6,0.5048,0.1631,1.1484,0.6498,0.2177,2.09
tcas,v24,7,6,0.5047,0.0666,0.0312,0.6456,0.0889,0.0557
tcas,v25,4,6,0.5047,0.0503,0.0102,0.6452,0.0672,0.0181
tcas,v26,11,6,0.5047,0.0835,0.0772,0.8751,0.1712,0.3289
tcas,v27,10,6,0.5047,0.0796,0.0638,0.8464,0.1291,0.1667
tcas,v28,76,6,0.5049,0.2195,3.8455,0.7065,0.2929,7.1309
tcas,v29,18,6,0.5048,0.1068,0.2077,0.6469,0.1425,0.3733
tcas,v3,23,6,0.5048,0.1207,0.3402,0.9003,0.3094,2.4228
tcas,v30,58,6,0.5049,0.1917,2.2132,0.7468,0.2559,4.0628
tcas,v31,14,6,0.5047,0.0942,0.1253,0.9166,0.2967,1.3517
tcas,v32,2,6,0.5047,0.0356,0.0025,0.645,0.0475,0.0045
tcas,v33,89,6,0.505,0.2375,5.3197,0.6559,0.3169,9.9385
tcas,v34,77,6,0.5049,0.2209,3.95,0.8848,0.4501,18.8916
tcas,v35,76,6,0.5049,0.2195,3.8455,0.7065,0.2929,7.1309
tcas,v36,123,6,0.5051,0.2792,10.3979,0.6606,0.3726,19.8283
tcas,v37,95,6,0.505,0.2454,6.0856,0.6567,0.3274,11.4096
tcas,v38,76,6,0.5049,0.2195,3.8455,0.7323,0.2929,7.1309
tcas,v39,4,6,0.5047,0.0503,0.0102,0.6452,0.0672,0.0181
tcas,v4,23,6,0.5048,0.1207,0.3402,0.9162,0.37,3.6483
tcas,v40,123,6,0.5051,0.2792,10.3979,0.911,0.6775,104.3379
tcas,v41,23,6,0.5048,0.1207,0.3402,0.9162,0.37,3.6483
tcas,v5,10,6,0.5047,0.0796,0.0638,0.8464,0.1291,0.1667
tcas,v6,12,6,0.5047,0.0872,0.092,0.9167,0.2765,0.9931
tcas,v7,36,6,0.5048,0.151,0.8405,0.9086,0.4122,7.3581
tcas,v8,1,6,0.5047,0.0252,0.0006,0.6449,0.0336,0.0011
tcas,v9,7,6,0.5047,0.0666,0.0312,0.6456,0.0889,0.0557
totinfo,v1,158,2,0.5623,0.4301,35.8678,0.5764,0.4403,37.997
totinfo,v10,8,2,0.5524,0.0968,0.0757,0.564,0.0991,0.0793
totinfo,v11,199,2,0.5656,0.4827,60.4595,0.5807,0.4941,64.2873
totinfo,v12,33,2,0.5538,0.1966,1.3264,0.5658,0.2012,1.3926
totinfo,v13,128,2,0.56,0.3871,22.5675,0.5736,0.3963,23.8486
totinfo,v15,199,2,0.5656,0.4827,60.4595,0.5807,0.4941,64.2873
totinfo,v16,170,2,0.5632,0.4462,42.2515,0.5776,0.4567,44.8062
totinfo,v17,44,2,0.5545,0.227,2.3901,0.5666,0.2324,2.511
totinfo,v18,115,2,0.5591,0.367,17.8958,0.5713,0.3749,18.8122
totinfo,v19,72,2,0.3697,0.1397,1.3978,0.3813,0.143,1.4651
totinfo,v2,10,2,0.5522,0.1081,0.1183,0.5639,0.1107,0.1241
totinfo,v21,90,2,0.5364,0.309,9.5018,0.5486,0.3159,9.9794
totinfo,v22,23,2,0.5532,0.1641,0.6366,0.5651,0.168,0.6679
totinfo,v23,71,2,0.5561,0.2883,6.4381,0.5687,0.2952,6.7755
totinfo,v4,33,2,0.5538,0.1966,1.3264,0.5658,0.2012,1.3926
totinfo,v5,29,2,0.5536,0.1843,1.0194,0.5655,0.1886,1.07
totinfo,v6,41,2,0.4493,0.1452,0.8783,0.4615,0.1487,0.9216
totinfo,v7,123,2,0.5596,0.3795,20.6963,0.5731,0.3885,21.8627
totinfo,v8,199,2,0.5656,0.4827,60.4595,0.5807,0.4941,64.2873
totinfo,v9,37,2,0.554,0.2081,1.6756,0.5661,0.2131,1.7596
