Subject,Mutant,Failed TCs,Total Probes,Top Condition,Max Suspicion,Status,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17
printtokens,v1,2,4,c1,0.711,ACCEPTED,0.711,0.5535,0.0,0.0,,,,,,,,,,,,,
printtokens,v2,26,4,c2,0.7321,ACCEPTED,0.7284,0.7321,0.3434,0.3438,,,,,,,,,,,,,
printtokens,v3,25,4,c1,0.7313,ACCEPTED,0.7313,0.5665,0.4044,0.4048,,,,,,,,,,,,,
printtokens,v4,11,4,c2,0.6904,ACCEPTED,0.6886,0.6904,0.2359,0.2362,,,,,,,,,,,,,
printtokens,v5,108,4,c3,0.7843,ACCEPTED,0.7156,0.7174,0.7843,0.7829,,,,,,,,,,,,,
printtokens,v6,87,4,c2,0.7055,ACCEPTED,0.7036,0.7055,0.4493,0.4373,,,,,,,,,,,,,
printtokens,v7,17,4,c1,0.7307,ACCEPTED,0.7307,0.6589,0.1663,0.1665,,,,,,,,,,,,,
printtokens2,v1,101,17,c13,0.8886,ACCEPTED,0.5844,0.5844,0.6269,0.6347,0.6386,0.5844,0.5844,0.5844,0.5844,0.5844,0.5844,0.5844,0.8886,0.7829,0.812,0.0,0.0
printtokens2,v10,125,17,c1,0.585,ACCEPTED,0.585,0.585,0.1922,0.2034,0.2593,0.2656,0.2688,0.585,0.585,0.585,0.585,0.585,0.585,0.22,0.524,0.3526,0.372
printtokens2,v2,106,17,c15,0.8872,ACCEPTED,0.5846,0.5846,0.6605,0.6769,0.6271,0.6349,0.6388,0.5846,0.5846,0.5846,0.5846,0.5846,0.5846,0.5846,0.8872,0.7678,0.7966
printtokens2,v3,5,17,c17,0.714,ACCEPTED,0.5822,0.5822,0.2429,0.2539,0.6232,0.6308,0.6345,0.5822,0.5822,0.5822,0.5822,0.5822,0.5822,0.5822,0.7135,0.6743,0.714
printtokens2,v4,215,17,c15,0.7887,ACCEPTED,0.5873,0.5873,0.6664,0.6664,0.6171,0.6213,0.6248,0.5873,0.5873,0.5873,0.5873,0.5873,0.5873,0.5873,0.7887,0.7532,0.7711
printtokens2,v5,125,17,c1,0.585,ACCEPTED,0.585,0.585,0.2292,0.242,0.2663,0.2728,0.276,0.585,0.585,0.585,0.585,0.585,0.585,0.585,0.5456,0.3747,0.4087
printtokens2,v6,235,17,c15,0.8757,ACCEPTED,0.5879,0.5879,0.6655,0.6828,0.6324,0.6407,0.6447,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.5879,0.8757,0.7097,0.7373
printtokens2,v7,150,17,c6,0.7883,ACCEPTED,0.5857,0.5857,0.6628,0.6729,0.7875,0.7883,0.6223,0.6221,0.6258,0.5857,0.5857,0.5857,0.5857,0.5857,0.5857,0.5857,0.6623
printtokens2,v8,113,17,c16,0.8858,ACCEPTED,0.5847,0.5847,0.6603,0.6767,0.6274,0.6352,0.6391,0.6392,0.5847,0.5847,0.5847,0.5847,0.5847,0.5847,0.5847,0.8858,0.7699
printtokens2,v9,25,17,c17,0.8986,ACCEPTED,0.5826,0.5826,0.6563,0.6721,0.7739,0.7746,0.624,0.6316,0.6353,0.5826,0.5826,0.5826,0.5826,0.5826,0.5826,0.5826,0.8986
schedule,v1,4,6,c4,0.4215,ACCEPTED,0.3523,0.3523,0.4201,0.4215,0.2228,0.2257,,,,,,,,,,,
schedule,v2,210,6,c4,0.5961,ACCEPTED,0.5229,0.5229,0.5945,0.5961,0.5363,0.5408,,,,,,,,,,,
schedule,v3,159,6,c4,0.6001,ACCEPTED,0.5224,0.5224,0.5985,0.6001,0.5299,0.5344,,,,,,,,,,,
schedule,v4,294,6,c4,0.6071,ACCEPTED,0.5243,0.5243,0.6053,0.6071,0.539,0.5437,,,,,,,,,,,
schedule,v5,37,6,c4,0.5945,ACCEPTED,0.521,0.521,0.5931,0.5945,0.4648,0.469,,,,,,,,,,,
schedule,v6,4,6,c4,0.4215,ACCEPTED,0.3523,0.3523,0.4201,0.4215,0.2228,0.2257,,,,,,,,,,,
schedule,v7,27,6,c4,0.5544,ACCEPTED,0.521,0.521,0.5529,0.5544,0.4831,0.4873,,,,,,,,,,,
schedule,v8,31,6,c4,0.5943,ACCEPTED,0.5213,0.5213,0.5928,0.5943,0.5348,0.539,,,,,,,,,,,
schedule,v9,23,6,c1,0.0,ACCEPTED,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
